,name,year,runtime,certificate,genre,rating,url,movie_id,nudity,nudity_none,nudity_mild,nudity_moderate,nudity_severe,violence,violence_none,violence_mild,violence_moderate,violence_severe,profanity,profanity_none,profanity_mild,profanity_moderate,profanity_severe,alcohol,alcohol_none,alcohol_mild,alcohol_moderate,alcohol_severe,frightening,frightening_none,frightening_mild,frightening_moderate,frightening_severe
0,Pulp Fiction,(1994),154 min,R,"Crime, Drama",8.9,http://www.imdb.com/title/tt0110912/,tt0110912,Moderate,0,4,16,5,Severe,0,0,9,19,Severe,0,0,2,25,Severe,0,0,2,22,Severe,0,3,5,15
1,The Amazing Spider-Man 2,(2014),142 min,PG-13,"Action, Adventure, Sci-Fi",6.7,http://www.imdb.com/title/tt1872181/,tt1872181,Mild,0,1,0,0,Moderate,0,0,2,0,Be the first to evaluate this category,0,0,0,0,Mild,0,2,0,0,Moderate,0,0,2,0
2,The Shawshank Redemption,(1994),142 min,R,"Crime, Drama",9.3,http://www.imdb.com/title/tt0111161/,tt0111161,Moderate,1,3,9,0,Moderate,0,2,7,0,Severe,0,0,4,7,Mild,0,9,0,0,Moderate,1,2,5,1
3,Star Wars: Episode IV - A New Hope,(1977),121 min,PG,"Action, Adventure, Fantasy",8.7,http://www.imdb.com/title/tt0076759/,tt0076759,None,13,1,0,0,Mild,0,9,5,0,Mild,6,8,0,0,Mild,2,11,0,0,Mild,0,11,3,0
4,Back to the Future,(1985),116 min,PG,"Adventure, Comedy, Sci-Fi",8.5,http://www.imdb.com/title/tt0088763/,tt0088763,Mild,0,5,1,0,Mild,0,4,0,0,Mild,0,4,2,0,Mild,0,5,0,0,Mild,0,5,0,0
5,The Breakfast Club,(1985),97 min,R,"Comedy, Drama",7.9,http://www.imdb.com/title/tt0088847/,tt0088847,Moderate,0,1,3,0,Mild,0,5,0,0,Severe,0,0,1,4,Moderate,0,1,3,0,None,6,0,0,0
6,The Goonies,(1985),114 min,PG,"Adventure, Comedy, Family",7.8,http://www.imdb.com/title/tt0089218/,tt0089218,Moderate,0,3,4,0,Moderate,0,1,3,1,Moderate,0,2,2,1,Mild,1,3,1,0,Moderate,0,0,3,2
7,The Silence of the Lambs,(1991),118 min,R,"Crime, Drama, Thriller",8.6,http://www.imdb.com/title/tt0102926/,tt0102926,Moderate,0,0,6,1,Severe,0,0,1,7,Moderate,0,0,5,2,Mild,0,5,0,0,Severe,0,0,1,8
8,Jurassic Park,(1993),127 min,PG-13,"Adventure, Sci-Fi, Thriller",8.1,http://www.imdb.com/title/tt0107290/,tt0107290,Mild,3,3,0,0,Moderate,0,0,6,2,Mild,2,3,3,0,Mild,0,5,1,0,Moderate,0,0,6,2
9,The Lion King,(1994),88 min,G,"Animation, Adventure, Drama",8.5,http://www.imdb.com/title/tt0110357/,tt0110357,Mild,1,8,0,0,Mild,1,7,2,0,None,9,0,0,0,None,10,0,0,0,Moderate,0,5,6,0
