,name,year,runtime,certificate,genre,rating,url
0,Pulp Fiction,(1994),154 min,R,"Crime, Drama",8.9,http://www.imdb.com/title/tt0110912/
1,The Amazing Spider-Man 2,(2014),142 min,PG-13,"Action, Adventure, Sci-Fi",6.7,http://www.imdb.com/title/tt1872181/
2,The Shawshank Redemption,(1994),142 min,R,"Crime, Drama",9.3,http://www.imdb.com/title/tt0111161/
3,Star Wars: Episode IV - A New Hope,(1977),121 min,PG,"Action, Adventure, Fantasy",8.7,http://www.imdb.com/title/tt0076759/
4,Back to the Future,(1985),116 min,PG,"Adventure, Comedy, Sci-Fi",8.5,http://www.imdb.com/title/tt0088763/
5,The Breakfast Club,(1985),97 min,R,"Comedy, Drama",7.9,http://www.imdb.com/title/tt0088847/
6,The Goonies,(1985),114 min,PG,"Adventure, Comedy, Family",7.8,http://www.imdb.com/title/tt0089218/
7,The Silence of the Lambs,(1991),118 min,R,"Crime, Drama, Thriller",8.6,http://www.imdb.com/title/tt0102926/
8,Jurassic Park,(1993),127 min,PG-13,"Adventure, Sci-Fi, Thriller",8.1,http://www.imdb.com/title/tt0107290/
9,The Lion King,(1994),88 min,G,"Animation, Adventure, Drama",8.5,http://www.imdb.com/title/tt0110357/
10,Se7en,(1995),127 min,R,"Crime, Drama, Mystery",8.6,http://www.imdb.com/title/tt0114369/
11,Toy Story,(1995),81 min,G,"Animation, Adventure, Comedy",8.3,http://www.imdb.com/title/tt0114709/
12,The Big Lebowski,(1998),117 min,R,"Comedy, Crime",8.2,http://www.imdb.com/title/tt0118715/
13,Saving Private Ryan,(1998),169 min,R,"Drama, War",8.6,http://www.imdb.com/title/tt0120815/
14,Fight Club,(1999),139 min,R,Drama,8.8,http://www.imdb.com/title/tt0137523/
15,The Matrix,(1999),136 min,R,"Action, Sci-Fi",8.7,http://www.imdb.com/title/tt0133093/
16,Star Wars: Episode I - The Phantom Menace,(1999),136 min,PG,"Action, Adventure, Fantasy",6.5,http://www.imdb.com/title/tt0120915/
17,Gladiator,(2000),155 min,R,"Action, Adventure, Drama",8.5,http://www.imdb.com/title/tt0172495/
18,X-Men,(2000),104 min,PG-13,"Action, Adventure, Sci-Fi",7.4,http://www.imdb.com/title/tt0120903/
19,Harry Potter and the Sorcerer's Stone,(2001),152 min,PG,"Adventure, Family, Fantasy",7.6,http://www.imdb.com/title/tt0241527/
20,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,PG-13,"Adventure, Drama, Fantasy",8.8,http://www.imdb.com/title/tt0120737/
21,The Lord of the Rings: The Two Towers,(2002),179 min,PG-13,"Adventure, Drama, Fantasy",8.7,http://www.imdb.com/title/tt0167261/
22,xXx,(2002),124 min,PG-13,"Action, Adventure, Thriller",5.8,http://www.imdb.com/title/tt0295701/
23,Finding Nemo,(2003),100 min,G,"Animation, Adventure, Comedy",8.1,http://www.imdb.com/title/tt0266543/
24,The Lord of the Rings: The Return of the King,(2003),201 min,PG-13,"Adventure, Drama, Fantasy",8.9,http://www.imdb.com/title/tt0167260/
25,Anchorman: The Legend of Ron Burgundy,(2004),94 min,PG-13,Comedy,7.2,http://www.imdb.com/title/tt0357413/
26,Mean Girls,(2004),97 min,PG-13,Comedy,7,http://www.imdb.com/title/tt0377092/
27,Sin City,(2005),124 min,R,"Crime, Thriller",8,http://www.imdb.com/title/tt0401792/
28,Star Wars: Episode III - Revenge of the Sith,(2005),140 min,PG-13,"Action, Adventure, Fantasy",7.6,http://www.imdb.com/title/tt0121766/
29,Batman Begins,(2005),140 min,PG-13,"Action, Adventure, Thriller",8.3,http://www.imdb.com/title/tt0372784/
30,The Departed,(2006),151 min,R,"Crime, Drama, Thriller",8.5,http://www.imdb.com/title/tt0407887/
31,The Prestige,(2006),130 min,PG-13,"Drama, Mystery, Sci-Fi",8.5,http://www.imdb.com/title/tt0482571/
32,V for Vendetta,(2005),132 min,R,"Action, Drama, Sci-Fi",8.2,http://www.imdb.com/title/tt0434409/
33,Casino Royale,(2006),144 min,PG-13,"Action, Adventure, Thriller",8,http://www.imdb.com/title/tt0381061/
34,Transformers,(2007),144 min,PG-13,"Action, Adventure, Sci-Fi",7.1,http://www.imdb.com/title/tt0418279/
35,The Dark Knight,(2008),152 min,PG-13,"Action, Crime, Drama",9,http://www.imdb.com/title/tt0468569/
36,Iron Man,(2008),126 min,PG-13,"Action, Adventure, Sci-Fi",7.9,http://www.imdb.com/title/tt0371746/
37,Quantum of Solace,(2008),106 min,PG-13,"Action, Adventure, Thriller",6.6,http://www.imdb.com/title/tt0830515/
38,Tropic Thunder,(2008),107 min,R,"Action, Comedy",7,http://www.imdb.com/title/tt0942385/
39,G.I. Joe: The Rise of Cobra,(2009),118 min,PG-13,"Action, Adventure, Sci-Fi",5.8,http://www.imdb.com/title/tt1046173/
40,The Hangover,(2009),100 min,R,Comedy,7.7,http://www.imdb.com/title/tt1119646/
41,Inglourious Basterds,(2009),153 min,R,"Adventure, Drama, War",8.3,http://www.imdb.com/title/tt0361748/
42,Star Trek,(2009),127 min,PG-13,"Action, Adventure, Sci-Fi",8,http://www.imdb.com/title/tt0796366/
43,Taken,(I) (2008),93 min,PG-13,"Action, Crime, Thriller",7.8,http://www.imdb.com/title/tt0936501/
44,Up,(2009),96 min,PG,"Animation, Adventure, Comedy",8.3,http://www.imdb.com/title/tt1049413/
45,X-Men Origins: Wolverine,(2009),107 min,PG-13,"Action, Adventure, Sci-Fi",6.7,http://www.imdb.com/title/tt0458525/
46,Zombieland,(2009),88 min,R,"Adventure, Comedy, Horror",7.7,http://www.imdb.com/title/tt1156398/
47,2012,(I) (2009),158 min,PG-13,"Action, Adventure, Sci-Fi",5.8,http://www.imdb.com/title/tt1190080/
48,Avatar,(2009),162 min,PG-13,"Action, Adventure, Fantasy",7.8,http://www.imdb.com/title/tt0499549/
49,Despicable Me,(2010),95 min,PG,"Animation, Adventure, Comedy",7.7,http://www.imdb.com/title/tt1323594/
50,Grown Ups,(I) (2010),102 min,PG-13,Comedy,6,http://www.imdb.com/title/tt1375670/
51,How to Train Your Dragon,(2010),98 min,PG,"Animation, Adventure, Comedy",8.1,http://www.imdb.com/title/tt0892769/
52,Inception,(2010),148 min,PG-13,"Action, Adventure, Sci-Fi",8.8,http://www.imdb.com/title/tt1375666/
53,Iron Man 2,(2010),124 min,PG-13,"Action, Adventure, Sci-Fi",7,http://www.imdb.com/title/tt1228705/
54,Kick-Ass,(2010),117 min,R,"Action, Comedy",7.7,http://www.imdb.com/title/tt1250777/
55,RED,(2010),111 min,PG-13,"Action, Comedy, Crime",7.1,http://www.imdb.com/title/tt1245526/
56,Shutter Island,(2010),138 min,R,"Mystery, Thriller",8.1,http://www.imdb.com/title/tt1130884/
57,Tron,(2010),125 min,PG,"Action, Adventure, Sci-Fi",6.8,http://www.imdb.com/title/tt1104001/
58,Toy Story 3,(2010),103 min,G,"Animation, Adventure, Comedy",8.3,http://www.imdb.com/title/tt0435761/
59,Drive,(I) (2011),100 min,R,"Crime, Drama",7.8,http://www.imdb.com/title/tt0780504/
60,Fast Five,(2011),130 min,PG-13,"Action, Crime, Thriller",7.3,http://www.imdb.com/title/tt1596343/
61,Harry Potter and the Deathly Hallows: Part 2,(2011),130 min,PG-13,"Adventure, Drama, Fantasy",8.1,http://www.imdb.com/title/tt1201607/
62,Limitless,(I) (2011),105 min,PG-13,"Mystery, Sci-Fi, Thriller",7.4,http://www.imdb.com/title/tt1219289/
63,Pirates of the Caribbean: On Stranger Tides,(2011),136 min,PG-13,"Action, Adventure, Fantasy",6.6,http://www.imdb.com/title/tt1298650/
64,X: First Class,(2011),131 min,PG-13,"Action, Adventure, Sci-Fi",7.8,http://www.imdb.com/title/tt1270798/
65,The Girl with the Dragon Tattoo,(2011),158 min,R,"Crime, Drama, Mystery",7.8,http://www.imdb.com/title/tt1568346/
66,The Help,(2011),146 min,PG-13,Drama,8.1,http://www.imdb.com/title/tt1454029/
67,In Time,(2011),109 min,PG-13,"Action, Sci-Fi, Thriller",6.7,http://www.imdb.com/title/tt1637688/
68,21 Jump Street,(2012),109 min,R,"Action, Comedy, Crime",7.2,http://www.imdb.com/title/tt1232829/
69,The Amazing Spider-Man,(2012),136 min,PG-13,"Action, Adventure, Sci-Fi",7,http://www.imdb.com/title/tt0948470/
70,American Reunion,(2012),113 min,R,Comedy,6.7,http://www.imdb.com/title/tt1605630/
71,The Avengers,(2012),143 min,PG-13,"Action, Adventure, Sci-Fi",8.1,http://www.imdb.com/title/tt0848228/
72,Battleship,(2012),131 min,PG-13,"Action, Adventure, Sci-Fi",5.8,http://www.imdb.com/title/tt1440129/
73,The Bourne Legacy,(2012),135 min,PG-13,"Action, Adventure, Mystery",6.7,http://www.imdb.com/title/tt1194173/
74,Brave,(2012),93 min,PG,"Animation, Adventure, Comedy",7.2,http://www.imdb.com/title/tt1217209/
75,The Cabin in the Woods,(2012),95 min,R,Horror,7,http://www.imdb.com/title/tt1259521/
76,The Campaign,(2012),85 min,R,Comedy,6.1,http://www.imdb.com/title/tt1790886/
77,Cloud Atlas,(2012),172 min,R,"Action, Drama, Mystery",7.5,http://www.imdb.com/title/tt1371111/
78,The Dark Knight Rises,(2012),164 min,PG-13,"Action, Thriller",8.4,http://www.imdb.com/title/tt1345836/
79,Dark Shadows,(2012),113 min,PG-13,"Comedy, Fantasy, Horror",6.2,http://www.imdb.com/title/tt1077368/
80,Django Unchained,(2012),165 min,R,"Drama, Western",8.4,http://www.imdb.com/title/tt1853728/
81,Dredd,(2012),95 min,R,"Action, Crime, Sci-Fi",7.1,http://www.imdb.com/title/tt1343727/
82,End of Watch,(2012),109 min,R,"Action, Crime, Drama",7.7,http://www.imdb.com/title/tt1855199/
83,The Expendables 2,(2012),103 min,R,"Action, Adventure, Thriller",6.6,http://www.imdb.com/title/tt1764651/
84,Flight,(I) (2012),138 min,R,"Drama, Thriller",7.3,http://www.imdb.com/title/tt1907668/
85,The Guilt Trip,(2012),95 min,PG-13,"Comedy, Drama",5.8,http://www.imdb.com/title/tt1694020/
86,Here Comes the Boom,(2012),105 min,PG,"Action, Comedy, Sport",6.4,http://www.imdb.com/title/tt1648179/
87,The Hobbit: An Unexpected Journey,(2012),169 min,PG-13,"Adventure, Family, Fantasy",7.9,http://www.imdb.com/title/tt0903624/
88,Hotel Transylvania,(2012),91 min,PG,"Animation, Comedy, Family",7.1,http://www.imdb.com/title/tt0837562/
89,Jack Reacher,(2012),130 min,PG-13,"Action, Crime, Mystery",7,http://www.imdb.com/title/tt0790724/
90,John Carter,(2012),132 min,PG-13,"Action, Adventure, Sci-Fi",6.6,http://www.imdb.com/title/tt0401729/
91,Killing Them Softly,(2012),97 min,R,"Crime, Thriller",6.2,http://www.imdb.com/title/tt1764234/
