,movie_id,nudity,nudity_none,nudity_mild,nudity_moderate,nudity_severe,violence,violence_none,violence_mild,violence_moderate,violence_severe,profanity,profanity_none,profanity_mild,profanity_moderate,profanity_severe,alcohol,alcohol_none,alcohol_mild,alcohol_moderate,alcohol_severe,frightening,frightening_none,frightening_mild,frightening_moderate,frightening_severe
0,tt0110912,Moderate,0,4,16,5,Severe,0,0,9,19,Severe,0,0,2,25,Severe,0,0,2,22,Severe,0,3,5,15
1,tt1872181,Mild,0,1,0,0,Moderate,0,0,2,0,Be the first to evaluate this category,0,0,0,0,Mild,0,2,0,0,Moderate,0,0,2,0
2,tt0111161,Moderate,1,3,9,0,Moderate,0,2,7,0,Severe,0,0,4,7,Mild,0,9,0,0,Moderate,1,2,5,1
3,tt0076759,None,13,1,0,0,Mild,0,9,5,0,Mild,6,8,0,0,Mild,2,11,0,0,Mild,0,11,3,0
4,tt0088763,Mild,0,5,1,0,Mild,0,4,0,0,Mild,0,4,2,0,Mild,0,5,0,0,Mild,0,5,0,0
5,tt0088847,Moderate,0,1,3,0,Mild,0,5,0,0,Severe,0,0,1,4,Moderate,0,1,3,0,None,6,0,0,0
6,tt0089218,Moderate,0,3,4,0,Moderate,0,1,3,1,Moderate,0,2,2,1,Mild,1,3,1,0,Moderate,0,0,3,2
7,tt0102926,Moderate,0,0,6,1,Severe,0,0,1,7,Moderate,0,0,5,2,Mild,0,5,0,0,Severe,0,0,1,8
8,tt0107290,Mild,3,3,0,0,Moderate,0,0,6,2,Mild,2,3,3,0,Mild,0,5,1,0,Moderate,0,0,6,2
9,tt0110357,Mild,1,8,0,0,Mild,1,7,2,0,None,9,0,0,0,None,10,0,0,0,Moderate,0,5,6,0
10,tt0114369,Mild,0,13,4,0,Severe,0,0,2,13,Severe,0,0,1,12,Mild,0,12,0,0,Severe,0,0,0,14
11,tt0114709,Mild,1,1,0,0,Mild,0,1,0,0,Mild,0,2,0,0,Mild,1,1,0,1,Moderate,0,2,1,1
12,tt0118715,Moderate,0,2,4,1,Moderate,0,0,5,0,Severe,0,0,0,6,Moderate,0,0,4,1,Mild,0,4,1,0
13,tt0120815,Mild,2,11,0,0,Severe,0,0,0,14,Moderate,0,0,9,4,Mild,3,8,0,0,Severe,0,0,0,14
14,tt0137523,Severe,0,0,7,13,Severe,0,1,2,22,Severe,0,0,9,13,Mild,0,15,4,0,Severe,0,1,3,16
15,tt0133093,Mild,4,11,0,0,Moderate,0,4,10,4,Moderate,0,5,11,0,Mild,2,12,1,0,Moderate,1,1,10,1
16,tt0120915,None,7,0,2,0,Moderate,0,2,4,0,None,4,1,0,0,None,6,0,0,0,Moderate,0,3,3,0
17,tt0172495,Mild,1,3,2,0,Severe,0,0,1,4,Mild,0,4,0,0,Mild,1,2,0,0,Severe,0,0,0,4
18,tt0120903,Moderate,0,1,1,0,Moderate,0,0,1,0,Moderate,0,1,1,0,Mild,0,1,0,0,Severe,0,0,1,1
19,tt0241527,None,3,0,0,0,Moderate,0,1,3,0,Mild,0,4,3,0,Mild,2,4,0,0,Moderate,0,1,4,1
20,tt0120737,None,5,0,0,0,Moderate,0,0,6,1,None,6,1,0,0,Mild,0,4,1,0,Moderate,0,0,7,0
21,tt0167261,None,3,0,0,0,Moderate,0,0,6,0,None,4,0,0,0,Mild,1,3,0,0,Moderate,0,0,4,0
22,tt0295701,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
23,tt0266543,None,3,0,0,1,Mild,0,3,0,1,None,3,1,0,1,None,3,1,0,1,Moderate,0,2,2,1
24,tt0167260,None,11,0,0,0,Moderate,0,0,9,4,None,11,0,0,0,Mild,0,10,0,0,Moderate,0,1,8,2
25,tt0357413,Moderate,0,0,1,0,Moderate,0,0,1,0,Moderate,0,0,1,0,Mild,0,1,0,0,Mild,0,1,0,0
26,tt0377092,Moderate,0,1,3,0,Mild,0,4,0,0,Moderate,0,1,3,0,Mild,0,3,0,0,Mild,0,3,0,0
27,tt0401792,Moderate,0,1,3,0,Severe,0,0,0,3,Moderate,0,0,1,0,Moderate,0,0,1,0,Severe,0,0,0,1
28,tt0121766,Mild,0,3,0,0,Moderate,0,0,5,1,None,4,0,0,0,None,4,0,0,0,Moderate,0,0,4,1
29,tt0372784,Mild,3,3,1,0,Moderate,0,0,5,0,Mild,0,5,0,0,Mild,0,4,0,0,Moderate,0,0,3,2
30,tt0407887,Moderate,0,1,6,0,Severe,0,0,2,6,Severe,1,0,0,9,Moderate,0,1,5,1,Severe,0,0,4,5
31,tt0482571,Mild,0,5,0,0,Moderate,0,1,3,0,Mild,2,2,0,0,Mild,0,4,0,0,Moderate,0,0,4,0
32,tt0434409,Mild,2,6,2,0,Severe,0,0,2,4,Severe,0,0,1,6,Mild,0,5,0,1,Severe,0,0,3,3
33,tt0381061,Mild,0,1,0,0,Moderate,0,0,2,1,Moderate,0,1,1,0,Mild,0,1,0,0,Severe,0,0,1,1
34,tt0418279,Mild,0,1,0,0,Moderate,0,0,2,1,Moderate,0,0,2,0,Mild,0,2,0,0,Moderate,0,0,2,1
35,tt0468569,None,16,9,0,0,Moderate,0,2,18,6,Mild,0,20,2,0,Mild,1,17,0,0,Severe,0,1,10,16
36,tt0371746,Mild,0,3,1,0,Moderate,0,0,2,0,Mild,0,5,0,0,Mild,0,4,0,0,Moderate,0,2,2,0
37,tt0830515,Moderate,0,1,1,0,Severe,0,0,1,1,Moderate,0,1,1,0,Mild,0,1,0,0,Moderate,0,0,1,0
38,tt0942385,Moderate,0,0,2,0,Severe,0,1,0,1,Moderate,0,1,1,1,Severe,0,0,0,1,Mild,0,1,0,0
